donor_id,true_age,predicted_age,n_cells
aida:KR_SGI_H127,73.0,34.842293,764
aida:KR_SGI_H128,60.0,37.21168,417
aida:KR_SGI_H129,63.0,34.913826,414
aida:KR_SGI_H130,62.0,35.114826,569
aida:KR_SGI_H131,58.0,38.62105,281
aida:KR_SGI_H132,71.0,37.694847,748
aida:KR_SGI_H133,38.0,37.233147,526
aida:KR_SGI_H134,39.0,34.30337,637
aida:KR_SGI_H135,47.0,37.415226,226
aida:KR_SGI_H136,44.0,33.80903,358
aida:KR_SGI_H137,57.0,37.44327,312
aida:KR_SGI_H138,41.0,37.152313,466
aida:KR_SGI_H139,31.0,37.9747,284
aida:KR_SGI_H140,28.0,34.47102,120
aida:KR_SGI_H141,58.0,33.6618,139
aida:KR_SGI_H142,28.0,36.953903,434
aida:KR_SGI_H143,52.0,34.068066,257
aida:KR_SGI_H144,53.0,34.514675,223
aida:KR_SGI_H145,50.0,37.48826,500
aida:KR_SGI_H146,29.0,35.85694,354
aida:KR_SGI_H147,49.0,37.390408,319
aida:KR_SGI_H148,26.0,36.693783,161
aida:KR_SGI_H149,42.0,36.98546,202
aida:KR_SGI_H150,45.0,34.920242,367
aida:KR_SGI_H151,48.0,34.7003,709
aida:KR_SGI_H152,48.0,36.521366,526
aida:KR_SGI_H153,64.0,36.976746,404
aida:KR_SGI_H154,54.0,38.097103,599
aida:KR_SGI_H155,51.0,37.64943,568
aida:KR_SGI_H156,47.0,34.264835,323
aida:KR_SGI_H157,31.0,32.650013,87
aida:KR_SGI_H158,30.0,35.833385,209
aida:KR_SGI_H159,26.0,35.97095,81
aida:KR_SGI_H160,49.0,34.77565,344
aida:KR_SGI_H161,19.0,35.90919,516
aida:KR_SGI_H162,24.0,35.70427,676
aida:KR_SGI_H163,50.0,36.584866,477
aida:KR_SGI_H164,26.0,33.814827,203
aida:KR_SGI_H165,27.0,35.95827,304
aida:LONZA3030004,33.0,34.164955,968
aida:LONZA3038016,21.0,33.535263,5350
aida:LONZA3038097,41.0,37.798107,4688
aida:LONZA3038099,23.0,33.637825,6787
aida:LONZA3038306,30.0,34.09864,3140
aida:LONZA3061635,25.0,37.01532,1525
aida:SG_HEL_H001,57.0,37.60672,91
aida:SG_HEL_H002,55.0,34.997307,422
aida:SG_HEL_H02a,57.0,33.673717,402
aida:SG_HEL_H003,54.0,34.671844,476
aida:SG_HEL_H03a,58.0,35.03974,550
aida:SG_HEL_H04a,47.0,37.614483,265
aida:SG_HEL_H05a,41.0,34.16587,347
aida:SG_HEL_H06a,56.0,37.17824,340
aida:SG_HEL_H07a,53.0,38.287674,332
aida:SG_HEL_H008,53.0,38.373875,415
aida:SG_HEL_H08a,44.0,37.0048,397
aida:SG_HEL_H09a,46.0,37.6113,335
aida:SG_HEL_H10a,43.0,34.661404,827
aida:SG_HEL_H011,61.0,35.743637,427
aida:SG_HEL_H11a,58.0,34.376076,608
aida:SG_HEL_H012,37.0,34.600014,350
aida:SG_HEL_H12a,58.0,38.190273,143
aida:SG_HEL_H013,51.0,35.23479,267
aida:SG_HEL_H13a,33.0,34.64235,371
aida:SG_HEL_H14a,65.0,38.16669,83
aida:SG_HEL_H15a,33.0,34.653416,505
aida:SG_HEL_H16a,68.0,34.55222,651
aida:SG_HEL_H017,53.0,38.70404,377
aida:SG_HEL_H018,56.0,34.883446,316
aida:SG_HEL_H019,37.0,34.34154,318
aida:SG_HEL_H024,31.0,37.79584,123
aida:SG_HEL_H026,45.0,34.328953,425
aida:SG_HEL_H027,35.0,38.181705,375
aida:SG_HEL_H030,45.0,34.78112,332
aida:SG_HEL_H031,40.0,38.185368,391
aida:SG_HEL_H032,61.0,38.93994,146
aida:SG_HEL_H037,66.0,37.437,257
aida:SG_HEL_H039,60.0,37.466747,505
aida:SG_HEL_H042,61.0,37.729546,112
aida:SG_HEL_H044,41.0,33.952847,225
aida:SG_HEL_H045,42.0,35.6138,308
aida:SG_HEL_H046,39.0,38.25773,290
aida:SG_HEL_H048,55.0,38.307747,305
aida:SG_HEL_H051,53.0,37.383633,449
aida:SG_HEL_H052,55.0,37.842686,223
aida:SG_HEL_H053,55.0,38.166737,393
aida:SG_HEL_H054,53.0,37.18934,268
aida:SG_HEL_H055,35.0,34.849148,427
aida:SG_HEL_H056,52.0,37.996914,467
aida:SG_HEL_H059,56.0,38.767387,37
aida:SG_HEL_H060,56.0,37.814976,346
aida:SG_HEL_H062,62.0,38.751488,500
aida:SG_HEL_H065,57.0,38.340675,349
aida:SG_HEL_H066,40.0,34.871952,445
aida:SG_HEL_H067,54.0,35.000256,807
aida:SG_HEL_H069,61.0,38.769062,335
aida:SG_HEL_H072,55.0,35.208412,274
aida:SG_HEL_H073,37.0,37.910107,342
aida:SG_HEL_H074,44.0,35.57946,295
aida:SG_HEL_H077,58.0,36.246918,396
aida:SG_HEL_H082,44.0,37.839504,345
aida:SG_HEL_H083,45.0,35.59143,334
aida:SG_HEL_H084,32.0,37.970222,375
aida:SG_HEL_H093,58.0,37.42427,185
aida:SG_HEL_H094,66.0,35.734352,401
