baseline,training_cohorts,eval_cohort,eval_chemistry,cell_type,n_donors,median_abs_err_yr,mean_abs_err_yr,pearson_r,pearson_p,mean_bias_yr,leakage_status,chemistry_match_to_baseline_training,detectability_flag
Pasta-REG,Pasta-pretraining-bulk,aida,10x 5' v2,CD8T,595,20.1645367041672,20.8216407584187,0.616927177850307,1.10523630097466e-63,-19.4894270996983,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,aida,10x 5' v2,MONO,595,9.905,11.283,0.3462,3.362473768666175e-18,6.056,clean,shifted,powered
scAgeClock,CELLxGENE-Census-2024-07-01,aida,10x 5' v2,MONO,595,9.133575439453123,10.57315286908831,0.2967869138152234,1.4532995598043742e-13,-6.191018333755621,clean,match,powered
Pasta-REG,Pasta-pretraining-bulk,aida,10x 5' v2,MONO,595,26.0469437788498,26.3822186298413,0.30390173569638,3.5279068552603204e-14,26.1360431650076,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,aida,10x 5' v2,NK,624,18.554,18.771,0.1991,5.329930638528755e-07,16.401,clean,shifted,powered
scAgeClock,CELLxGENE-Census-2024-07-01,aida,10x 5' v2,NK,624,8.492542266845703,10.05210071343642,0.2040449025925405,2.732761523483337e-07,-2.0222941239674888,clean,match,powered
Pasta-REG,Pasta-pretraining-bulk,aida,10x 5' v2,NK,624,11.514760898144,12.5934876594476,0.258183916047942,5.83774679412873e-11,1.62848939708491,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,aida,10x 5' v2,B,625,12.362,13.828,-0.0258,0.5190137510540378,-7.615,clean,shifted,powered
scAgeClock,CELLxGENE-Census-2024-07-01,aida,10x 5' v2,B,625,9.10068130493164,10.477022817993165,0.2183187791087086,3.513879622273718e-08,-5.160308700561523,clean,match,powered
Pasta-REG,Pasta-pretraining-bulk,aida,10x 5' v2,B,625,11.143448684656,13.4596767124881,0.264896367473609,1.6997095405926897e-11,-4.68224771816987,clean,bulk-vs-sc,powered
