fold,eval_cohort,cell_type,layer,alpha,n_train_donors,n_eval_donors,pearson_r,mae_y,ci_lo,ci_hi,pred_mean,eval_mean
loco_terekhova,aida,CD4+ T,6,0.1,1005,293,0.570116,42.3335,0.495906,0.64135,84.1782,41.7645
loco_terekhova,terekhova,CD4+ T,7,0.1,1005,166,0.496031,13.1128,0.332674,0.639448,60.7352,49.5241
loco_terekhova,aida,CD4+ T,7,0.1,1005,293,0.4331,24.362,0.334475,0.529254,65.2245,41.7645
loco_terekhova,terekhova,CD4+ T,8,0.1,1005,166,0.443341,11.5571,0.272135,0.604898,48.0053,49.5241
loco_terekhova,aida,CD4+ T,8,0.1,1005,293,0.474431,9.99479,0.385919,0.560705,46.2544,41.7645
loco_terekhova,terekhova,CD4+ T,9,0.1,1005,166,0.415621,11.3579,0.246902,0.569223,47.9392,49.5241
loco_terekhova,aida,CD4+ T,9,0.1,1005,293,0.524153,9.53041,0.443037,0.602697,47.8575,41.7645
loco_terekhova,terekhova,CD4+ T,10,0.1,1005,166,0.408856,11.5642,0.264943,0.550285,48.2977,49.5241
loco_terekhova,aida,CD4+ T,10,0.1,1005,293,0.449048,11.2886,0.35893,0.530936,47.9971,41.7645
loco_terekhova,terekhova,CD4+ T,11,0.1,1005,166,0.517573,11.7053,0.413932,0.609039,58.836,49.5241
loco_terekhova,aida,CD4+ T,11,0.1,1005,293,0.519878,11.7957,0.444217,0.597418,48.6288,41.7645
loco_terekhova,terekhova,CD4+ T,12,1,1005,166,0.454248,11.8132,0.32722,0.561829,52.134,49.5241
loco_terekhova,aida,CD4+ T,12,1,1005,293,0.483135,15.9283,0.400847,0.557716,58.2106,41.7645
loco_onek1k,onek1k,B,0,0.1,195,981,0.0790625,10.9382,0.0171294,0.146055,64.2279,63.9144
loco_onek1k,aida,B,0,0.1,195,307,-0.159446,10.4184,-0.260384,-0.0356973,41.8627,41.0749
loco_onek1k,onek1k,B,1,1,195,981,0.108665,11.7714,0.0464663,0.168538,62.4601,63.9144
loco_onek1k,aida,B,1,1,195,307,-0.0527655,10.7117,-0.153572,0.0615473,43.0996,41.0749
loco_onek1k,onek1k,B,2,1,195,981,0.154797,19.3071,0.0949935,0.213332,48.4071,63.9144
loco_onek1k,aida,B,2,1,195,307,-0.0517639,11.0371,-0.161085,0.065271,45.39,41.0749
loco_onek1k,onek1k,B,3,1,195,981,0.129966,18.5441,0.0707468,0.189297,49.7698,63.9144
loco_onek1k,aida,B,3,1,195,307,-0.0726038,11.2265,-0.186368,0.0502743,45.9073,41.0749
loco_onek1k,onek1k,B,4,1,195,981,0.163441,13.7046,0.108796,0.21998,57.4964,63.9144
loco_onek1k,aida,B,4,1,195,307,0.0753554,10.733,-0.0431605,0.190857,48.1244,41.0749
loco_onek1k,onek1k,B,5,0.1,195,981,0.0652613,12.5531,0.00947602,0.122777,68.5763,63.9144
loco_onek1k,aida,B,5,0.1,195,307,0.0913977,12.7162,-0.0399706,0.213455,49.1239,41.0749
loco_onek1k,onek1k,B,6,1,195,981,0.156393,18.6883,0.100498,0.215259,50.1124,63.9144
loco_onek1k,aida,B,6,1,195,307,0.0200965,12.1397,-0.0976298,0.133,50.0996,41.0749
loco_onek1k,onek1k,B,7,0.1,195,981,0.100163,12.8517,0.0398689,0.157617,62.6281,63.9144
loco_onek1k,aida,B,7,0.1,195,307,0.015589,12.7392,-0.103937,0.135847,44.0798,41.0749
loco_onek1k,onek1k,B,8,0.1,195,981,0.101315,11.5652,0.0392057,0.160265,70.325,63.9144
loco_onek1k,aida,B,8,0.1,195,307,0.116891,12.9491,0.00464358,0.231553,50.4557,41.0749
loco_onek1k,onek1k,B,9,0.1,195,981,0.168004,12.6463,0.112254,0.22622,60.2037,63.9144
loco_onek1k,aida,B,9,0.1,195,307,0.0810727,11.2305,-0.0260685,0.197001,49.2388,41.0749
loco_onek1k,onek1k,B,10,0.1,195,981,0.10204,12.6508,0.0441367,0.163934,63.9083,63.9144
loco_onek1k,aida,B,10,0.1,195,307,0.153871,10.9303,0.0388679,0.264907,45.0271,41.0749
loco_onek1k,onek1k,B,11,0.1,195,981,0.19849,43.9865,0.142034,0.253476,21.0288,63.9144
loco_onek1k,aida,B,11,0.1,195,307,0.0630121,10.3979,-0.0525044,0.176447,39.876,41.0749
loco_onek1k,onek1k,B,12,10,195,981,0.137273,23.5588,0.0757876,0.195654,44.053,63.9144
loco_onek1k,aida,B,12,10,195,307,0.0747771,10.3176,-0.0287606,0.183368,46.2819,41.0749
loco_terekhova,terekhova,B,0,0.1,1010,166,0.11982,14.8172,-0.00219275,0.255977,57.6393,49.3494
loco_terekhova,terekhova,B,1,1,1010,166,0.220132,15.157,0.110086,0.347287,56.2443,49.3494
loco_terekhova,terekhova,B,2,1,1010,166,0.2503,15.4474,0.123927,0.37591,55.5013,49.3494
loco_terekhova,terekhova,B,3,1,1010,166,0.111131,14.6055,-0.033235,0.272124,50.1272,49.3494
loco_terekhova,terekhova,B,4,1,1010,166,0.111397,13.9166,-0.0364734,0.269077,48.9663,49.3494
loco_terekhova,terekhova,B,5,1,1010,166,0.0730061,14.4961,-0.0772996,0.220224,49.516,49.3494
loco_terekhova,terekhova,B,6,1,1010,166,0.111632,14.3787,-0.0344375,0.256962,49.5147,49.3494
loco_terekhova,terekhova,B,7,1,1010,166,0.139106,14.1554,-0.00610722,0.282146,50.062,49.3494
loco_terekhova,terekhova,B,8,1,1010,166,0.175516,13.5399,0.0290924,0.322746,49.0752,49.3494
loco_terekhova,terekhova,B,9,1,1010,166,0.191722,13.84,0.0547691,0.330129,47.7417,49.3494
loco_terekhova,terekhova,B,10,1,1010,166,0.184462,14.154,0.0553619,0.310407,48.1538,49.3494
loco_terekhova,terekhova,B,11,1,1010,166,0.151056,15.5064,0.000938462,0.296214,53.5198,49.3494
loco_terekhova,terekhova,B,12,10,1010,166,0.0767902,14.421,-0.0846794,0.236228,46.8094,49.3494
loco_onek1k,onek1k,NK,0,0.01,195,981,0.243011,13.4337,0.183988,0.298468,57.1325,63.9144
loco_onek1k,aida,NK,0,0.01,195,306,0.0907626,12.0214,-0.0168145,0.184951,33.9829,41.098
loco_onek1k,onek1k,NK,1,0.1,195,981,0.301809,10.952,0.246815,0.3578,69.4737,63.9144
loco_onek1k,aida,NK,1,0.1,195,306,-0.0203854,14.526,-0.126127,0.08885,47.8111,41.098
loco_onek1k,onek1k,NK,2,1,195,981,0.293726,15.8374,0.24041,0.35203,53.3954,63.9144
loco_onek1k,aida,NK,2,1,195,306,-0.0368013,12.452,-0.13426,0.0699266,46.071,41.098
loco_onek1k,onek1k,NK,3,1,195,981,0.317673,19.3663,0.260476,0.369058,47.9868,63.9144
loco_onek1k,aida,NK,3,1,195,306,0.00702603,11.9435,-0.0930154,0.104872,49.6239,41.098
loco_onek1k,onek1k,NK,4,1,195,981,0.269508,14.8071,0.211948,0.321494,54.329,63.9144
loco_onek1k,aida,NK,4,1,195,306,0.0554955,10.6343,-0.0458912,0.152563,46.5652,41.098
loco_onek1k,onek1k,NK,5,1,195,981,0.24562,15.3436,0.183895,0.302065,53.5394,63.9144
loco_onek1k,aida,NK,5,1,195,306,0.0763276,10.2538,-0.0227387,0.171186,45.299,41.098
loco_onek1k,onek1k,NK,6,1,195,981,0.108877,15.8801,0.0455651,0.168444,54.1568,63.9144
loco_onek1k,aida,NK,6,1,195,306,0.00214345,10.4328,-0.097426,0.099852,43.492,41.098
loco_onek1k,onek1k,NK,7,1,195,981,0.152345,17.2345,0.089298,0.21287,51.4473,63.9144
loco_onek1k,aida,NK,7,1,195,306,0.0518107,10.1778,-0.0464362,0.145702,42.1175,41.098
loco_onek1k,onek1k,NK,8,1,195,981,0.0494774,18.1332,-0.0114454,0.111935,50.6655,63.9144
