method,fold,cell_type,seed,layer,k_pc,R_full,MAE_full,R_residual,MAE_residual,deltaR_holdout,R_aida_full,R_aida_residual,deltaR_aida
geneformer_frozen_seed0,loco_onek1k,B,0,1,25,-0.0851,19.8725,-0.0444,15.8598,0.0407,0.0495,0.1311,0.0816
geneformer_frozen_seed0,loco_onek1k,B,0,1,50,-0.0851,19.8725,-0.0441,20.9969,0.0410,0.0495,0.0810,0.0315
geneformer_frozen_seed0,loco_onek1k,B,0,2,5,-0.0171,29.7476,-0.0744,22.7766,-0.0573,0.0880,0.2257,0.1376
geneformer_frozen_seed0,loco_onek1k,B,0,2,10,-0.0171,29.7476,0.0987,21.1022,0.1158,0.0880,0.1492,0.0612
geneformer_frozen_seed0,loco_onek1k,B,0,2,25,-0.0171,29.7476,-0.0054,20.4516,0.0117,0.0880,0.0249,-0.0631
geneformer_frozen_seed0,loco_onek1k,B,0,2,50,-0.0171,29.7476,0.0177,22.2092,0.0349,0.0880,-0.0398,-0.1279
geneformer_frozen_seed0,loco_onek1k,B,0,3,5,-0.0459,26.1206,-0.0968,26.9850,-0.0509,0.0743,0.1989,0.1247
geneformer_frozen_seed0,loco_onek1k,B,0,3,10,-0.0459,26.1206,-0.0320,21.0016,0.0138,0.0743,0.0702,-0.0041
geneformer_frozen_seed0,loco_onek1k,B,0,3,25,-0.0459,26.1206,-0.0422,20.6918,0.0036,0.0743,0.1300,0.0557
geneformer_frozen_seed0,loco_onek1k,B,0,3,50,-0.0459,26.1206,0.0894,19.9985,0.1353,0.0743,0.1693,0.0950
geneformer_frozen_seed0,loco_onek1k,B,0,4,5,-0.0008,23.4191,-0.0914,20.2751,-0.0905,0.0926,0.1599,0.0672
geneformer_frozen_seed0,loco_onek1k,B,0,4,10,-0.0008,23.4191,-0.0929,19.9778,-0.0921,0.0926,0.2392,0.1466
geneformer_frozen_seed0,loco_onek1k,B,0,4,25,-0.0008,23.4191,-0.1111,20.3519,-0.1103,0.0926,0.2842,0.1915
geneformer_frozen_seed0,loco_onek1k,B,0,4,50,-0.0008,23.4191,-0.1060,19.6599,-0.1052,0.0926,0.1007,0.0081
geneformer_frozen_seed0,loco_onek1k,B,0,5,5,0.0221,29.5408,-0.0076,27.6909,-0.0297,0.0701,0.2107,0.1406
geneformer_frozen_seed0,loco_onek1k,B,0,5,10,0.0221,29.5408,0.0797,18.6655,0.0576,0.0701,0.2616,0.1915
geneformer_frozen_seed0,loco_onek1k,B,0,5,25,0.0221,29.5408,-0.0318,19.9998,-0.0539,0.0701,0.0113,-0.0587
geneformer_frozen_seed0,loco_onek1k,B,0,5,50,0.0221,29.5408,-0.0303,19.6394,-0.0524,0.0701,-0.0736,-0.1437
geneformer_frozen_seed0,loco_onek1k,B,0,6,5,0.0302,24.6541,0.0225,23.1880,-0.0076,0.0198,0.1958,0.1761
geneformer_frozen_seed0,loco_onek1k,B,0,6,10,0.0302,24.6541,0.0724,19.2453,0.0422,0.0198,0.2612,0.2415
geneformer_frozen_seed0,loco_onek1k,B,0,6,25,0.0302,24.6541,-0.0802,19.8235,-0.1103,0.0198,0.0560,0.0362
geneformer_frozen_seed0,loco_onek1k,B,0,6,50,0.0302,24.6541,-0.0933,18.3814,-0.1234,0.0198,0.2120,0.1922
geneformer_frozen_seed0,loco_onek1k,B,0,7,5,0.0377,25.1470,-0.0439,28.3573,-0.0816,0.0114,0.1405,0.1292
geneformer_frozen_seed0,loco_onek1k,B,0,7,10,0.0377,25.1470,-0.0365,19.5399,-0.0742,0.0114,0.2837,0.2723
geneformer_frozen_seed0,loco_onek1k,B,0,7,25,0.0377,25.1470,-0.1002,19.9819,-0.1379,0.0114,0.1496,0.1382
geneformer_frozen_seed0,loco_onek1k,B,0,7,50,0.0377,25.1470,-0.0943,19.7736,-0.1320,0.0114,0.0865,0.0751
geneformer_frozen_seed0,loco_onek1k,B,0,8,5,0.0317,22.1106,-0.0168,28.2286,-0.0486,-0.0282,0.0741,0.1023
geneformer_frozen_seed0,loco_onek1k,B,0,8,10,0.0317,22.1106,0.0789,20.0727,0.0472,-0.0282,0.0432,0.0714
geneformer_frozen_seed0,loco_onek1k,B,0,8,25,0.0317,22.1106,-0.1393,20.8224,-0.1711,-0.0282,0.1677,0.1959
geneformer_frozen_seed0,loco_onek1k,B,0,8,50,0.0317,22.1106,-0.0366,19.6922,-0.0683,-0.0282,0.1284,0.1566
