layer,k_pc,cv_R,seed,fold
11,50,-0.1557,1,loco_onek1k
12,5,0.2300,1,loco_onek1k
12,10,0.1770,1,loco_onek1k
12,25,-0.0406,1,loco_onek1k
12,50,-0.0553,1,loco_onek1k
0,5,0.1562,2,loco_onek1k
0,10,0.0382,2,loco_onek1k
0,25,-0.0438,2,loco_onek1k
0,50,-0.0732,2,loco_onek1k
1,5,0.2206,2,loco_onek1k
1,10,0.1519,2,loco_onek1k
1,25,0.0192,2,loco_onek1k
1,50,-0.0589,2,loco_onek1k
2,5,0.2333,2,loco_onek1k
2,10,0.1950,2,loco_onek1k
2,25,0.0833,2,loco_onek1k
2,50,0.1058,2,loco_onek1k
3,5,0.2379,2,loco_onek1k
3,10,0.2576,2,loco_onek1k
3,25,0.1906,2,loco_onek1k
3,50,0.1266,2,loco_onek1k
4,5,0.2319,2,loco_onek1k
4,10,0.1874,2,loco_onek1k
4,25,0.0699,2,loco_onek1k
4,50,-0.0138,2,loco_onek1k
5,5,0.2404,2,loco_onek1k
5,10,0.1748,2,loco_onek1k
5,25,0.0268,2,loco_onek1k
5,50,-0.0534,2,loco_onek1k
6,5,0.2365,2,loco_onek1k
6,10,0.1946,2,loco_onek1k
6,25,0.0910,2,loco_onek1k
6,50,0.0686,2,loco_onek1k
7,5,0.2255,2,loco_onek1k
7,10,0.1761,2,loco_onek1k
7,25,0.0589,2,loco_onek1k
7,50,0.0119,2,loco_onek1k
8,5,0.2112,2,loco_onek1k
8,10,0.1956,2,loco_onek1k
8,25,0.1360,2,loco_onek1k
8,50,0.0721,2,loco_onek1k
9,5,0.2144,2,loco_onek1k
9,10,0.2375,2,loco_onek1k
9,25,0.1816,2,loco_onek1k
9,50,0.0524,2,loco_onek1k
10,5,0.2002,2,loco_onek1k
10,10,0.2119,2,loco_onek1k
10,25,0.1382,2,loco_onek1k
10,50,-0.0035,2,loco_onek1k
11,5,0.1266,2,loco_onek1k
11,10,0.1839,2,loco_onek1k
11,25,0.0658,2,loco_onek1k
11,50,0.0259,2,loco_onek1k
12,5,0.2137,2,loco_onek1k
12,10,0.2075,2,loco_onek1k
12,25,0.0763,2,loco_onek1k
12,50,-0.0212,2,loco_onek1k
