cap,seed,fold,layer,holdout_R,holdout_MAE,aida_R,aida_MAE
100,1,loco_terekhova,4,0.6013,9.3712,0.5593,9.4871
100,1,loco_terekhova,5,0.7448,26.1306,0.4748,18.5014
100,1,loco_terekhova,6,0.6869,57.2164,0.4562,28.2522
100,1,loco_terekhova,7,0.7499,49.2216,0.3195,45.2132
100,1,loco_terekhova,8,0.7029,19.6386,0.2726,20.3582
100,1,loco_terekhova,9,0.7219,32.3853,0.3497,22.4622
100,1,loco_terekhova,10,0.7529,29.6443,0.3515,29.1864
100,1,loco_terekhova,11,0.6981,32.7381,0.1189,48.6909
100,1,loco_terekhova,12,0.7150,8.6561,0.6600,17.1886
100,2,loco_onek1k,0,0.5929,11.4336,0.3847,12.9528
100,2,loco_onek1k,1,0.6396,41.6644,0.6364,8.8879
100,2,loco_onek1k,2,0.5513,60.4352,0.6454,11.3007
100,2,loco_onek1k,3,0.5565,83.9968,0.6628,32.6223
100,2,loco_onek1k,4,0.5983,42.9443,0.6476,25.3810
100,2,loco_onek1k,5,0.5729,50.5923,0.6371,18.2299
100,2,loco_onek1k,6,0.5954,34.8865,0.6582,15.7763
100,2,loco_onek1k,7,0.6073,22.4245,0.6178,12.8788
100,2,loco_onek1k,8,0.6077,12.5799,0.6095,15.8208
100,2,loco_onek1k,9,0.6167,16.2984,0.6108,10.0845
100,2,loco_onek1k,10,0.6531,25.3412,0.6103,21.3870
100,2,loco_onek1k,11,0.6088,37.0143,0.6595,8.1450
100,2,loco_onek1k,12,0.4607,81.2475,0.6401,20.1671
100,2,loco_terekhova,0,0.6865,15.5489,0.5423,16.6534
100,2,loco_terekhova,1,0.7751,9.2122,0.6447,7.4870
100,2,loco_terekhova,2,0.7627,10.2788,0.5936,9.6130
100,2,loco_terekhova,3,0.6724,9.2318,0.6184,11.2113
100,2,loco_terekhova,4,0.4967,29.1730,0.6270,26.0469
100,2,loco_terekhova,5,0.6811,9.3968,0.6363,8.1029
100,2,loco_terekhova,6,0.6444,9.7283,0.6333,24.7421
100,2,loco_terekhova,7,0.6837,26.3285,0.3075,51.4714
100,2,loco_terekhova,8,0.7019,8.8557,0.3753,24.8602
100,2,loco_terekhova,9,0.7675,13.7349,0.3074,24.8117
100,2,loco_terekhova,10,0.7645,8.7824,0.4734,8.3469
100,2,loco_terekhova,11,0.6953,16.4882,0.1441,29.8850
100,2,loco_terekhova,12,0.7261,8.5822,0.6472,8.3329
