method,fold,cell_type,seed,layer,cca_train_R,ols_holdout_R,ridge_holdout_R,ols_aida_R,ridge_aida_R
geneformer_frozen_seed2,loco_onek1k,NK,2,5,1.0000,,0.2759,,0.1543
geneformer_frozen_seed2,loco_onek1k,NK,2,6,1.0000,,0.2700,,0.1473
geneformer_frozen_seed2,loco_onek1k,NK,2,7,1.0000,,0.2719,,0.2027
geneformer_frozen_seed2,loco_onek1k,NK,2,8,1.0000,,0.2756,,0.1288
geneformer_frozen_seed2,loco_onek1k,NK,2,9,1.0000,,0.2892,,0.1676
geneformer_frozen_seed2,loco_onek1k,NK,2,10,1.0000,,0.2864,,0.2128
geneformer_frozen_seed2,loco_onek1k,NK,2,11,1.0000,,0.2665,,0.1027
geneformer_frozen_seed2,loco_onek1k,NK,2,12,1.0000,,0.2935,,0.1631
geneformer_frozen_seed1,loco_terekhova,NK,1,0,0.9158,0.0550,0.1723,,
geneformer_frozen_seed1,loco_terekhova,NK,1,1,0.9194,0.0119,0.2355,,
geneformer_frozen_seed1,loco_terekhova,NK,1,2,0.9191,0.0505,0.2724,,
geneformer_frozen_seed1,loco_terekhova,NK,1,3,0.9237,0.0599,0.2166,,
geneformer_frozen_seed1,loco_terekhova,NK,1,4,0.9331,0.2159,0.1508,,
geneformer_frozen_seed1,loco_terekhova,NK,1,5,0.9304,0.1216,0.1493,,
geneformer_frozen_seed1,loco_terekhova,NK,1,6,0.9231,0.1145,0.1541,,
geneformer_frozen_seed1,loco_terekhova,NK,1,7,0.9178,0.0307,0.1429,,
geneformer_frozen_seed1,loco_terekhova,NK,1,8,0.9328,0.0317,0.1719,,
geneformer_frozen_seed1,loco_terekhova,NK,1,9,0.9227,-0.0018,0.1707,,
geneformer_frozen_seed1,loco_terekhova,NK,1,10,0.9066,0.1111,0.1573,,
geneformer_frozen_seed1,loco_terekhova,NK,1,11,0.9116,-0.0144,0.1550,,
geneformer_frozen_seed1,loco_terekhova,NK,1,12,0.9241,-0.0430,0.1700,,
geneformer_frozen_seed2,loco_terekhova,NK,2,0,0.9150,0.1046,0.2730,,
geneformer_frozen_seed2,loco_terekhova,NK,2,1,0.9170,0.1099,0.3457,,
geneformer_frozen_seed2,loco_terekhova,NK,2,2,0.9192,0.1574,0.3441,,
geneformer_frozen_seed2,loco_terekhova,NK,2,3,0.9223,0.0668,0.3042,,
geneformer_frozen_seed2,loco_terekhova,NK,2,4,0.9223,0.2211,0.2181,,
geneformer_frozen_seed2,loco_terekhova,NK,2,5,0.9289,0.2078,0.2069,,
geneformer_frozen_seed2,loco_terekhova,NK,2,6,0.9181,0.2209,0.2249,,
geneformer_frozen_seed2,loco_terekhova,NK,2,7,0.9118,0.1547,0.2624,,
geneformer_frozen_seed2,loco_terekhova,NK,2,8,0.8982,0.1612,0.2685,,
geneformer_frozen_seed2,loco_terekhova,NK,2,9,0.9172,0.2341,0.2656,,
geneformer_frozen_seed2,loco_terekhova,NK,2,10,0.9106,0.1169,0.2279,,
geneformer_frozen_seed2,loco_terekhova,NK,2,11,0.9099,0.0582,0.2315,,
geneformer_frozen_seed2,loco_terekhova,NK,2,12,0.9166,0.0767,0.2725,,
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,0,1.0000,,0.3370,,0.2968
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,1,1.0000,,0.4864,,0.4683
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,2,1.0000,,0.5390,,0.4722
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,3,1.0000,,0.5534,,0.4182
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,4,1.0000,,0.5402,,0.4086
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,5,1.0000,,0.6192,,0.3803
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,6,1.0000,,0.6380,,0.4686
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,7,1.0000,,0.6336,,0.4341
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,8,1.0000,,0.6087,,0.6009
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,9,1.0000,,0.5892,,0.5992
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,10,1.0000,,0.5397,,0.6057
geneformer_rank16_seed0,loco_onek1k,CD4+ T,0,11,1.0000,,0.5668,,0.6226
