cell_type,seed,cap,fold,eval_cohort,n_train,n_eval,alpha,l1_ratio,n_nonzero_genes,R,MAE,R_ci_lo,R_ci_hi
NK,2,50,loco_terekhova,aida,1010,306,1.0000,0.9000,136,0.2173,14.4167,0.1177,0.3178
NK,2,100,loco_onek1k,onek1k,195,981,2.0000,0.9000,70,0.4104,16.9655,0.3613,0.4578
NK,2,100,loco_onek1k,aida,195,306,2.0000,0.9000,70,0.3404,17.1314,0.2427,0.4320
NK,2,100,loco_terekhova,terekhova,1010,166,1.0000,0.9000,125,0.4534,12.1310,0.3181,0.5644
NK,2,100,loco_terekhova,aida,1010,306,1.0000,0.9000,125,0.2554,15.2442,0.1558,0.3599
NK,2,500,loco_onek1k,onek1k,195,981,0.0010,0.7000,482,0.3925,10.9006,0.3450,0.4459
NK,2,500,loco_onek1k,aida,195,306,0.0010,0.7000,482,0.3089,10.1966,0.2054,0.4150
NK,2,500,loco_terekhova,terekhova,1010,166,1.0000,0.3000,934,0.4746,11.4119,0.3197,0.6022
NK,2,500,loco_terekhova,aida,1010,306,1.0000,0.3000,934,0.3641,10.1017,0.2681,0.4544
NK,2,1000,loco_onek1k,onek1k,195,981,0.0010,0.5000,721,0.4248,9.4137,0.3770,0.4766
NK,2,1000,loco_onek1k,aida,195,306,0.0010,0.5000,721,0.3212,10.3924,0.2260,0.4229
NK,2,1000,loco_terekhova,terekhova,1010,166,1.0000,0.3000,928,0.5017,11.1618,0.3456,0.6250
NK,2,1000,loco_terekhova,aida,1010,306,1.0000,0.3000,928,0.3656,10.4051,0.2705,0.4545
B,0,1,loco_onek1k,onek1k,195,981,5.0000,0.9000,0,0.0000,19.5385,,
B,0,1,loco_onek1k,aida,195,307,5.0000,0.9000,0,0.0000,11.5385,,
B,0,1,loco_terekhova,terekhova,1010,166,2.0000,0.9000,9,-0.0107,17.1604,-0.1554,0.1363
B,0,1,loco_terekhova,aida,1010,307,2.0000,0.9000,9,-0.0228,22.4953,-0.1777,0.0944
B,0,5,loco_onek1k,onek1k,195,981,5.0000,0.7000,17,-0.0117,20.3606,-0.0797,0.0575
B,0,5,loco_onek1k,aida,195,307,5.0000,0.7000,17,-0.1188,11.7702,-0.2206,-0.0107
B,0,5,loco_terekhova,terekhova,1010,166,2.0000,0.7000,50,0.0229,15.7799,-0.1053,0.1841
B,0,5,loco_terekhova,aida,1010,307,2.0000,0.7000,50,0.0839,18.4876,-0.0207,0.1983
B,0,10,loco_onek1k,onek1k,195,981,1.0000,0.3000,811,0.0350,22.8201,-0.0252,0.1002
B,0,10,loco_onek1k,aida,195,307,1.0000,0.3000,811,0.0380,13.7589,-0.0595,0.1441
B,0,10,loco_terekhova,terekhova,1010,166,2.0000,0.5000,209,0.0528,15.8882,-0.0936,0.2059
B,0,10,loco_terekhova,aida,1010,307,2.0000,0.5000,209,0.0721,18.8197,-0.0243,0.1705
B,0,20,loco_onek1k,onek1k,195,981,2.0000,0.3000,653,-0.0105,16.5341,-0.0794,0.0549
B,0,20,loco_onek1k,aida,195,307,2.0000,0.3000,653,0.1639,13.0108,0.0466,0.2652
B,0,20,loco_terekhova,terekhova,1010,166,2.0000,0.3000,633,0.0238,16.0740,-0.1359,0.1878
B,0,20,loco_terekhova,aida,1010,307,2.0000,0.3000,633,-0.0391,15.4946,-0.1527,0.0772
B,0,50,loco_onek1k,onek1k,195,981,2.0000,0.3000,696,0.1249,15.2222,0.0687,0.1849
B,0,50,loco_onek1k,aida,195,307,2.0000,0.3000,696,0.0743,11.4069,-0.0436,0.1718
B,0,50,loco_terekhova,terekhova,1010,166,1.0000,0.9000,163,0.1363,15.8003,-0.0076,0.2878
B,0,50,loco_terekhova,aida,1010,307,1.0000,0.9000,163,0.1106,17.2334,-0.0010,0.2225
B,0,100,loco_onek1k,onek1k,195,981,1.0000,0.3000,822,0.1358,15.7000,0.0834,0.1971
B,0,100,loco_onek1k,aida,195,307,1.0000,0.3000,822,0.1263,11.7691,0.0184,0.2307
B,0,100,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1010,0.3210,15.0709,0.1948,0.4351
B,0,100,loco_terekhova,aida,1010,307,1.0000,0.3000,1010,0.1683,16.5143,0.0556,0.2783
B,0,500,loco_onek1k,onek1k,195,981,2.0000,0.3000,586,0.2695,17.4562,0.2146,0.3231
B,0,500,loco_onek1k,aida,195,307,2.0000,0.3000,586,0.2227,9.1359,0.1196,0.3290
B,0,500,loco_terekhova,terekhova,1010,166,0.5000,0.9000,337,0.3537,19.9455,0.2299,0.4627
B,0,500,loco_terekhova,aida,1010,307,0.5000,0.9000,337,0.1818,22.6812,0.0763,0.2926
B,0,1000,loco_onek1k,onek1k,195,981,0.0010,0.3000,1302,0.2943,10.5057,0.2410,0.3454
B,0,1000,loco_onek1k,aida,195,307,0.0010,0.3000,1302,0.3254,10.5769,0.2246,0.4186
B,0,1000,loco_terekhova,terekhova,1010,166,0.5000,0.9000,332,0.3607,19.6400,0.2367,0.4704
B,0,1000,loco_terekhova,aida,1010,307,0.5000,0.9000,332,0.1906,22.9803,0.0829,0.3009
B,1,1,loco_onek1k,onek1k,195,981,5.0000,0.5000,89,-0.0511,20.3900,-0.1121,0.0067
B,1,1,loco_onek1k,aida,195,307,5.0000,0.5000,89,0.0602,11.9466,-0.0490,0.1799
B,1,1,loco_terekhova,terekhova,1010,166,2.0000,0.7000,40,0.0380,16.1826,-0.1102,0.1691
B,1,1,loco_terekhova,aida,1010,307,2.0000,0.7000,40,0.0537,20.5329,-0.0567,0.1510
B,1,5,loco_onek1k,onek1k,195,981,0.1000,0.3000,885,-0.0315,17.6989,-0.0926,0.0277
B,1,5,loco_onek1k,aida,195,307,0.1000,0.3000,885,0.0417,11.4244,-0.0775,0.1517
B,1,5,loco_terekhova,terekhova,1010,166,2.0000,0.3000,660,0.0570,15.3237,-0.0944,0.2295
B,1,5,loco_terekhova,aida,1010,307,2.0000,0.3000,660,0.0065,13.9178,-0.0955,0.1048
B,1,10,loco_onek1k,onek1k,195,981,1.0000,0.3000,797,0.0678,20.5433,0.0074,0.1299
B,1,10,loco_onek1k,aida,195,307,1.0000,0.3000,797,0.1145,11.3876,0.0044,0.2222
B,1,10,loco_terekhova,terekhova,1010,166,2.0000,0.3000,637,0.0651,16.3278,-0.0892,0.2230
B,1,10,loco_terekhova,aida,1010,307,2.0000,0.3000,637,-0.0679,15.1667,-0.1696,0.0438
B,1,20,loco_onek1k,onek1k,195,981,5.0000,0.3000,350,0.0619,20.2374,0.0001,0.1220
B,1,20,loco_onek1k,aida,195,307,5.0000,0.3000,350,-0.0572,12.7913,-0.1685,0.0484
B,1,20,loco_terekhova,terekhova,1010,166,2.0000,0.3000,636,0.1606,15.4747,0.0018,0.3087
B,1,20,loco_terekhova,aida,1010,307,2.0000,0.3000,636,0.0775,15.2621,-0.0243,0.1747
B,1,50,loco_onek1k,onek1k,195,981,1.0000,0.3000,829,0.1139,22.4409,0.0516,0.1815
B,1,50,loco_onek1k,aida,195,307,1.0000,0.3000,829,-0.0333,13.3067,-0.1459,0.0749
B,1,50,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1139,0.2995,15.5517,0.1480,0.4127
B,1,50,loco_terekhova,aida,1010,307,1.0000,0.3000,1139,0.0856,16.3602,-0.0168,0.1790
B,1,100,loco_onek1k,onek1k,195,981,1.0000,0.3000,798,0.2736,13.7091,0.2186,0.3232
B,1,100,loco_onek1k,aida,195,307,1.0000,0.3000,798,0.0959,9.8337,-0.0060,0.2036
B,1,100,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1032,0.2581,19.7017,0.1325,0.3796
B,1,100,loco_terekhova,aida,1010,307,1.0000,0.3000,1032,0.0980,14.3219,-0.0056,0.2175
B,1,500,loco_onek1k,onek1k,195,981,0.0010,0.3000,1291,0.2911,11.8455,0.2449,0.3438
B,1,500,loco_onek1k,aida,195,307,0.0010,0.3000,1291,0.2595,10.1632,0.1540,0.3516
B,1,500,loco_terekhova,terekhova,1010,166,1.0000,0.3000,989,0.3494,17.0990,0.2362,0.4621
B,1,500,loco_terekhova,aida,1010,307,1.0000,0.3000,989,0.1514,16.3747,0.0447,0.2669
B,1,1000,loco_onek1k,onek1k,195,981,0.0010,0.3000,1294,0.2878,10.3149,0.2374,0.3383
B,1,1000,loco_onek1k,aida,195,307,0.0010,0.3000,1294,0.2977,9.9403,0.1943,0.3842
B,1,1000,loco_terekhova,terekhova,1010,166,1.0000,0.3000,989,0.3579,17.5514,0.2499,0.4729
B,1,1000,loco_terekhova,aida,1010,307,1.0000,0.3000,989,0.1570,17.0202,0.0508,0.2727
B,2,1,loco_onek1k,onek1k,195,981,5.0000,0.3000,376,-0.0053,20.3691,-0.0648,0.0574
B,2,1,loco_onek1k,aida,195,307,5.0000,0.3000,376,-0.1459,11.5656,-0.2565,-0.0242
B,2,1,loco_terekhova,terekhova,1010,166,2.0000,0.7000,43,0.0298,15.7493,-0.1240,0.1978
B,2,1,loco_terekhova,aida,1010,307,2.0000,0.7000,43,0.0988,21.4437,-0.0154,0.2075
B,2,5,loco_onek1k,onek1k,195,981,5.0000,0.9000,0,0.0000,19.5333,,
