label,fold,tag,eval_cohort,cell_type,layer,alpha,n_train_donors,n_eval_donors,pearson_r,pearson_p,mae_y
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,3,1,190,293,0.493433,2.19067e-19,8.35001
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,4,1,190,981,0.541129,0,20.9455
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,4,1,190,293,0.497163,1.06661e-19,8.10486
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,5,1,190,981,0.617459,0,16.937
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,5,1,190,293,0.498669,7.95651e-20,8.17791
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,6,1,190,981,0.635361,0,12.9371
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,6,1,190,293,0.550708,1.23149e-24,8.15162
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,7,1,190,981,0.627952,0,14.4276
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,7,1,190,293,0.513581,4.03479e-21,8.30162
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,8,1,190,981,0.621473,0,19.4424
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,8,1,190,293,0.527365,2.24359e-22,7.79275
