method,cell_type,eval_cohort,fold,layer,seed,R,MAE,ci_lo,ci_hi,n_train,n_eval,notes
geneformer_pseudobulk_input_ridge_best_layer,NK,terekhova,loco_terekhova,2.0000,0.0000,0.3247,13.5742,0.1706,0.4577,1010.0000,166.0000,"pseudobulk-input, frozen base, best-R layer"
scfoundation_frozen_pool_all,CD4+ T,onek1k,loco_onek1k,,0.0000,0.4752,12.7868,0.4200,0.5266,190.0000,981.0000,"scFoundation 3B, pool=concat(T+S+max+mean)"
scfoundation_frozen_pool_all,CD4+ T,aida,loco_onek1k,,0.0000,0.4417,20.9187,0.3596,0.5168,190.0000,293.0000,"scFoundation 3B, pool=concat(T+S+max+mean)"
scfoundation_frozen_pool_all,CD4+ T,terekhova,loco_terekhova,,0.0000,0.5194,17.9079,0.4023,0.6172,1005.0000,166.0000,"scFoundation 3B, pool=concat(T+S+max+mean)"
scfoundation_frozen_pool_all,CD4+ T,aida,loco_terekhova,,0.0000,0.5650,9.4554,0.4852,0.6371,1005.0000,293.0000,"scFoundation 3B, pool=concat(T+S+max+mean)"
scfoundation_frozen_pool_all,B,onek1k,loco_onek1k,,0.0000,-0.0493,19.3170,-0.1088,0.0030,195.0000,981.0000,"scFoundation 3B, pool=concat(T+S+max+mean)"
scfoundation_frozen_pool_all,B,aida,loco_onek1k,,0.0000,0.0306,25.2244,-0.0798,0.1400,195.0000,307.0000,"scFoundation 3B, pool=concat(T+S+max+mean)"
scfoundation_frozen_pool_all,B,terekhova,loco_terekhova,,0.0000,0.1215,15.4158,-0.0483,0.2631,1010.0000,166.0000,"scFoundation 3B, pool=concat(T+S+max+mean)"
scfoundation_frozen_pool_all,NK,onek1k,loco_onek1k,,0.0000,0.1524,18.4338,0.0895,0.2139,195.0000,981.0000,"scFoundation 3B, pool=concat(T+S+max+mean)"
scfoundation_frozen_pool_all,NK,aida,loco_onek1k,,0.0000,0.3114,21.9004,0.2106,0.4036,195.0000,306.0000,"scFoundation 3B, pool=concat(T+S+max+mean)"
geneformer_rank16_lora_3seed_layer0,CD4+ T,aida,loco_onek1k,0.0000,,0.3165,10.7919,,,,,"rank-16 LoRA 3-seed mean (R_std=0.000, MAE_std=0.00)"
geneformer_rank16_lora_3seed_layer1,CD4+ T,aida,loco_onek1k,1.0000,,0.4808,8.9232,,,,,"rank-16 LoRA 3-seed mean (R_std=0.013, MAE_std=0.27)"
