fold,eval_cohort,cell_type,layer,alpha,n_train_donors,n_eval_donors,pearson_r,pearson_p,mae_y
loco_onek1k,aida,B,7,1,195,307,0.0113807,0.842577,19.7076
loco_onek1k,onek1k,B,8,1,195,981,0.0317484,0.320529,22.1106
loco_onek1k,aida,B,8,1,195,307,-0.0281951,0.622648,18.9236
loco_onek1k,onek1k,B,9,1,195,981,0.0232884,0.466257,22.6661
loco_onek1k,aida,B,9,1,195,307,-0.00764692,0.893845,19.5862
loco_onek1k,onek1k,B,10,0.1,195,981,-0.0682756,0.0324987,27.6511
loco_onek1k,aida,B,10,0.1,195,307,0.107145,0.0607831,19.7856
loco_onek1k,onek1k,B,11,0.1,195,981,-0.0493908,0.12212,37.9451
loco_onek1k,aida,B,11,0.1,195,307,0.1201,0.0354344,20.663
loco_onek1k,onek1k,B,12,1,195,981,-0.0126323,0.692721,21.6908
loco_onek1k,aida,B,12,1,195,307,0.09859,0.0846007,18.6935
loco_terekhova,terekhova,B,0,0.1,1010,166,0.11479,0.140843,14.7638
loco_terekhova,terekhova,B,1,1,1010,166,0.114357,0.142358,14.6513
loco_terekhova,terekhova,B,2,1,1010,166,0.114919,0.140392,14.7362
loco_terekhova,terekhova,B,3,1,1010,166,0.064581,0.408439,13.8785
loco_terekhova,terekhova,B,4,1,1010,166,0.034931,0.655026,14.8548
loco_terekhova,terekhova,B,5,1,1010,166,0.0648687,0.40635,15.7584
loco_terekhova,terekhova,B,6,1,1010,166,0.0750409,0.33661,14.4488
loco_terekhova,terekhova,B,7,1,1010,166,0.0719219,0.357134,14.14
loco_terekhova,terekhova,B,8,1,1010,166,0.102365,0.189397,14.5414
loco_terekhova,terekhova,B,9,0.1,1010,166,0.227804,0.00315948,14.8222
loco_terekhova,terekhova,B,10,0.1,1010,166,0.208444,0.00703905,14.4127
loco_terekhova,terekhova,B,11,0.1,1010,166,0.178726,0.0212276,22.3104
loco_terekhova,terekhova,B,12,1,1010,166,0.10244,0.189073,14.0191
loco_onek1k,onek1k,NK,0,0.01,195,981,0.177859,2.04219e-08,11.3268
loco_onek1k,aida,NK,0,0.01,195,306,0.0790353,0.167879,17.5308
loco_onek1k,onek1k,NK,1,0.1,195,981,0.163406,2.65918e-07,11.9215
loco_onek1k,aida,NK,1,0.1,195,306,0.149483,0.00882094,16.5069
loco_onek1k,onek1k,NK,2,0.1,195,981,0.114819,0.000313886,32.5453
loco_onek1k,aida,NK,2,0.1,195,306,0.0843382,0.141048,16.5634
loco_onek1k,onek1k,NK,3,0.1,195,981,0.304463,1.73111e-22,62.2845
loco_onek1k,aida,NK,3,0.1,195,306,0.140439,0.0139395,14.5397
loco_onek1k,onek1k,NK,4,0.1,195,981,0.277518,8.32805e-19,65.9763
loco_onek1k,aida,NK,4,0.1,195,306,0.0820652,0.152116,11.2545
loco_onek1k,onek1k,NK,5,0.1,195,981,0.251824,1.17859e-15,61.7222
loco_onek1k,aida,NK,5,0.1,195,306,0.16853,0.00310468,13.2992
loco_onek1k,onek1k,NK,6,0.1,195,981,0.205743,7.74045e-11,47.1754
loco_onek1k,aida,NK,6,0.1,195,306,0.138513,0.0153182,14.1277
loco_onek1k,onek1k,NK,7,0.1,195,981,0.245076,6.95812e-15,44.6693
loco_onek1k,aida,NK,7,0.1,195,306,0.0448776,0.434087,14.2897
loco_onek1k,onek1k,NK,8,0.1,195,981,0.250642,1.61475e-15,31.5843
loco_onek1k,aida,NK,8,0.1,195,306,0.0863815,0.131633,15.1811
loco_onek1k,onek1k,NK,9,0.1,195,981,0.263455,4.87016e-17,30.6976
loco_onek1k,aida,NK,9,0.1,195,306,0.0444951,0.438018,13.8032
loco_onek1k,onek1k,NK,10,0.1,195,981,0.252051,1.10902e-15,21.1719
loco_onek1k,aida,NK,10,0.1,195,306,0.0132785,0.817052,13.7143
loco_onek1k,onek1k,NK,11,0.1,195,981,0.250993,1.47069e-15,17.4349
loco_onek1k,aida,NK,11,0.1,195,306,-0.0523312,0.36161,15.707
loco_onek1k,onek1k,NK,12,1,195,981,0.260169,1.21784e-16,14.1272
loco_onek1k,aida,NK,12,1,195,306,0.0472254,0.410402,14.8806
loco_terekhova,terekhova,NK,0,0.1,1010,166,0.184568,0.0172888,14.2012
loco_terekhova,terekhova,NK,1,1,1010,166,0.228532,0.00306171,14.6265
loco_terekhova,terekhova,NK,2,1,1010,166,0.265911,0.000534817,14.4117
loco_terekhova,terekhova,NK,3,1,1010,166,0.234899,0.00231648,14.36
loco_terekhova,terekhova,NK,4,1,1010,166,0.170931,0.0276736,14.6418
loco_terekhova,terekhova,NK,5,1,1010,166,0.191726,0.0133405,13.7088
loco_terekhova,terekhova,NK,6,1,1010,166,0.17383,0.0251042,14.5255
loco_terekhova,terekhova,NK,7,0.1,1010,166,0.171755,0.0269211,13.4017
loco_terekhova,terekhova,NK,8,0.1,1010,166,0.198188,0.0104788,13.8632
loco_terekhova,terekhova,NK,9,0.1,1010,166,0.210877,0.00638818,13.325
loco_terekhova,terekhova,NK,10,0.1,1010,166,0.213813,0.00567437,13.6583
loco_terekhova,terekhova,NK,11,0.1,1010,166,0.226951,0.00327759,14.2595
loco_terekhova,terekhova,NK,12,1,1010,166,0.198876,0.0102084,15.1889
