fold,eval_cohort,cell_type,seed,layer,alpha,pearson_r,mae_y,n_train,n_eval
loco_terekhova,terekhova,NK,2,1,1,0.327494,13.665,1010,166
loco_terekhova,terekhova,NK,2,2,1,0.337716,13.5382,1010,166
loco_terekhova,terekhova,NK,2,3,1,0.271915,13.7972,1010,166
loco_terekhova,terekhova,NK,2,4,1,0.220616,14.1502,1010,166
loco_terekhova,terekhova,NK,2,5,1,0.246262,14.2247,1010,166
loco_terekhova,terekhova,NK,2,6,1,0.241454,13.9413,1010,166
loco_terekhova,terekhova,NK,2,7,0.1,0.280176,13.7977,1010,166
loco_terekhova,terekhova,NK,2,8,0.1,0.272147,14.8044,1010,166
loco_terekhova,terekhova,NK,2,9,0.1,0.276469,13.5805,1010,166
loco_terekhova,terekhova,NK,2,10,0.1,0.230029,13.6218,1010,166
loco_terekhova,terekhova,NK,2,11,0.1,0.243887,13.4915,1010,166
loco_terekhova,terekhova,NK,2,12,1,0.254777,13.4098,1010,166
