donor,pred_age,true_age
onek1k:148_148,53.49247932434082,62.0
onek1k:149_149,53.6268253326416,59.0
onek1k:150_150,53.94595909118652,31.0
onek1k:151_151,51.711509704589844,19.0
onek1k:152_152,54.86732864379883,68.0
onek1k:153_153,54.45683479309082,46.0
onek1k:154_154,54.767316818237305,67.0
onek1k:155_155,54.26974296569824,56.0
onek1k:156_156,53.31924247741699,73.0
onek1k:158_158,55.032175064086914,59.0
onek1k:159_159,51.61154365539551,63.0
onek1k:15_15,55.19073486328125,67.0
onek1k:160_160,54.26226806640625,60.0
onek1k:161_161,52.512718200683594,33.0
onek1k:163_163,53.88320732116699,56.0
onek1k:164_165,54.080820083618164,41.0
onek1k:165_166,56.124773025512695,61.0
onek1k:166_167,56.239524841308594,34.0
onek1k:167_168,54.35446548461914,58.0
onek1k:168_169,53.48796463012695,79.0
onek1k:169_170,49.69851112365723,20.0
onek1k:16_16,49.94169235229492,45.0
onek1k:170_171,51.9306640625,43.0
onek1k:171_172,53.295963287353516,62.0
onek1k:172_173,52.16443061828613,23.0
onek1k:173_174,55.20918846130371,68.0
onek1k:175_176,53.28339385986328,49.0
onek1k:176_177,51.8072452545166,27.0
onek1k:177_178,54.873531341552734,19.0
onek1k:178_179,54.53373718261719,47.0
onek1k:179_180,51.35935592651367,31.0
onek1k:17_17,54.22788047790527,70.0
onek1k:180_181,51.827558517456055,68.0
onek1k:181_182,51.79011917114258,66.0
onek1k:182_183,54.075693130493164,70.0
onek1k:183_184,53.90978240966797,65.0
onek1k:184_185,58.06211280822754,83.0
onek1k:185_186,55.20929145812988,62.0
onek1k:186_187,52.01919364929199,28.0
onek1k:187_188,54.03433799743652,26.0
onek1k:188_189,57.317230224609375,46.0
onek1k:189_190,52.86536979675293,68.0
onek1k:18_18,56.43017578125,80.0
onek1k:190_191,53.87225532531738,61.0
onek1k:191_192,56.37294006347656,55.0
onek1k:192_193,51.719390869140625,58.0
onek1k:193_194,53.304237365722656,63.0
onek1k:194_195,51.388771057128906,46.0
onek1k:196_197,53.77935791015625,72.0
onek1k:197_198,51.58192253112793,60.0
onek1k:198_199,48.486623764038086,27.0
onek1k:199_200,51.245805740356445,63.0
onek1k:19_19,56.02447509765625,74.0
onek1k:1_1,55.06477165222168,65.0
onek1k:200_201,50.63532829284668,53.0
onek1k:201_202,52.342342376708984,39.0
onek1k:202_203,52.3488655090332,49.0
onek1k:203_204,55.91245651245117,59.0
onek1k:204_205,53.00739097595215,60.0
onek1k:206_207,51.417165756225586,63.0
onek1k:207_208,50.66328048706055,39.0
onek1k:208_209,51.84643745422363,72.0
onek1k:209_210,49.52720832824707,93.0
onek1k:210_211,51.325191497802734,46.0
onek1k:211_212,49.549489974975586,53.0
onek1k:212_213,53.07332420349121,93.0
onek1k:213_214,54.39456367492676,86.0
onek1k:214_215,54.54328918457031,69.0
onek1k:215_216,53.70802688598633,60.0
onek1k:217_218,55.20329284667969,73.0
onek1k:219_220,54.63700485229492,67.0
onek1k:220_221,52.724836349487305,66.0
onek1k:221_222,52.39810371398926,84.0
onek1k:222_223,51.08150672912598,48.0
onek1k:223_224,53.419883728027344,71.0
onek1k:224_225,57.77815055847168,85.0
onek1k:225_226,51.48741149902344,32.0
onek1k:226_227,56.0509090423584,77.0
onek1k:229_230,51.73256301879883,27.0
onek1k:230_231,54.16802215576172,60.0
onek1k:231_232,54.29695701599121,40.0
onek1k:232_233,51.37520980834961,24.0
onek1k:233_234,51.495391845703125,67.0
onek1k:236_237,52.3131103515625,51.0
onek1k:237_238,49.92563056945801,25.0
onek1k:238_239,49.09622001647949,39.0
onek1k:239_240,51.27089881896973,39.0
onek1k:23_23,51.6801815032959,42.0
onek1k:240_241,53.32289505004883,68.0
onek1k:241_242,53.54620552062988,79.0
onek1k:242_243,53.816287994384766,82.0
onek1k:243_244,51.83966255187988,59.0
onek1k:244_245,53.07935905456543,79.0
onek1k:245_246,52.90571212768555,58.0
onek1k:246_247,49.76859664916992,28.0
onek1k:247_248,54.15035629272461,77.0
onek1k:248_249,55.05799102783203,69.0
onek1k:24_24,54.73779487609863,77.0
onek1k:250_251,53.35088539123535,63.0
onek1k:251_252,50.35698127746582,35.0
onek1k:252_253,51.08065414428711,29.0
onek1k:255_256,52.39137268066406,54.0
onek1k:256_257,51.62911415100098,52.0
onek1k:257_258,54.80340003967285,68.0
onek1k:258_259,52.790016174316406,68.0
onek1k:259_260,51.926095962524414,45.0
onek1k:25_25,54.31637954711914,64.0
onek1k:260_261,53.142276763916016,76.0
onek1k:262_263,52.54062843322754,66.0
onek1k:263_264,55.622467041015625,77.0
onek1k:264_265,55.65059280395508,59.0
onek1k:266_267,51.040822982788086,49.0
onek1k:267_268,51.13975715637207,61.0
onek1k:269_270,55.9431209564209,76.0
onek1k:270_271,54.53800392150879,64.0
onek1k:271_272,50.83027648925781,20.0
onek1k:272_273,54.53139114379883,54.0
onek1k:273_274,53.713722229003906,63.0
onek1k:274_275,54.77410697937012,66.0
onek1k:275_276,50.329389572143555,31.0
onek1k:276_277,52.94953155517578,65.0
onek1k:278_279,52.62138557434082,45.0
onek1k:279_280,52.23354721069336,73.0
onek1k:27_27,55.77811050415039,73.0
onek1k:280_281,55.196842193603516,25.0
onek1k:281_282,53.51610565185547,53.0
