donor,pred_age,true_age
onek1k:199_200,47.10046195983887,63.0
onek1k:19_19,46.98381423950195,74.0
onek1k:1_1,53.93624687194824,65.0
onek1k:200_201,45.63593673706055,53.0
onek1k:201_202,48.79738998413086,39.0
onek1k:202_203,46.99841117858887,49.0
onek1k:203_204,46.714216232299805,59.0
onek1k:204_205,47.088558197021484,60.0
onek1k:206_207,45.58005332946777,63.0
onek1k:207_208,44.93293380737305,39.0
onek1k:208_209,43.98261070251465,72.0
onek1k:209_210,50.16695785522461,93.0
onek1k:210_211,49.62181854248047,46.0
onek1k:211_212,46.70773696899414,53.0
onek1k:212_213,45.28908157348633,93.0
onek1k:213_214,50.312355041503906,86.0
onek1k:214_215,48.27565383911133,69.0
onek1k:215_216,47.42299461364746,60.0
onek1k:217_218,48.02248764038086,73.0
onek1k:219_220,49.31459617614746,67.0
onek1k:220_221,47.276166915893555,66.0
onek1k:221_222,49.456077575683594,84.0
onek1k:222_223,45.180185317993164,48.0
onek1k:223_224,45.717140197753906,71.0
onek1k:224_225,47.9890022277832,85.0
onek1k:225_226,46.839271545410156,32.0
onek1k:226_227,51.931692123413086,77.0
onek1k:229_230,47.32931900024414,27.0
onek1k:230_231,46.55542755126953,60.0
onek1k:231_232,48.28433609008789,40.0
onek1k:232_233,46.93830871582031,24.0
onek1k:233_234,48.597856521606445,67.0
onek1k:236_237,46.948896408081055,51.0
onek1k:237_238,44.88808822631836,25.0
onek1k:238_239,47.93379783630371,39.0
onek1k:239_240,46.40298271179199,39.0
onek1k:23_23,44.27976608276367,42.0
onek1k:240_241,48.934099197387695,68.0
onek1k:241_242,46.46501922607422,79.0
onek1k:242_243,49.90044593811035,82.0
onek1k:243_244,48.00719451904297,59.0
onek1k:244_245,50.36564254760742,79.0
onek1k:245_246,46.56079864501953,58.0
onek1k:246_247,47.23662567138672,28.0
onek1k:247_248,49.42365837097168,77.0
onek1k:248_249,50.74802017211914,69.0
onek1k:24_24,48.45376014709473,77.0
onek1k:250_251,48.09581184387207,63.0
onek1k:251_252,46.59296417236328,35.0
onek1k:252_253,46.16406059265137,29.0
onek1k:255_256,46.868587493896484,54.0
onek1k:256_257,48.37171936035156,52.0
onek1k:257_258,47.795467376708984,68.0
onek1k:258_259,45.882164001464844,68.0
onek1k:259_260,44.32296562194824,45.0
onek1k:25_25,50.50294494628906,64.0
onek1k:260_261,48.2209358215332,76.0
onek1k:262_263,46.6495475769043,66.0
onek1k:263_264,50.881446838378906,77.0
onek1k:264_265,47.487342834472656,59.0
onek1k:266_267,48.2352409362793,49.0
onek1k:267_268,47.021514892578125,61.0
onek1k:269_270,49.1374397277832,76.0
onek1k:270_271,47.562435150146484,64.0
onek1k:271_272,46.644901275634766,20.0
onek1k:272_273,45.924299240112305,54.0
onek1k:273_274,47.53010368347168,63.0
onek1k:274_275,47.43096160888672,66.0
onek1k:275_276,48.593849182128906,31.0
onek1k:276_277,47.038530349731445,65.0
onek1k:278_279,49.08074760437012,45.0
onek1k:279_280,48.48166084289551,73.0
onek1k:27_27,49.42864990234375,73.0
onek1k:280_281,47.38134002685547,25.0
onek1k:281_282,50.33654975891113,53.0
onek1k:282_283,52.79824638366699,40.0
onek1k:283_284,49.01385688781738,47.0
onek1k:284_285,51.527841567993164,30.0
