donor,pred_age,true_age
onek1k:128_128,47.82281494140625,37.0
onek1k:129_129,50.11281967163086,35.0
onek1k:12_12,50.18368721008301,52.0
onek1k:130_130,50.34161376953125,72.0
onek1k:131_131,50.55688285827637,67.0
onek1k:132_132,49.92014503479004,62.0
onek1k:133_133,52.85505294799805,62.0
onek1k:134_134,57.01145935058594,73.0
onek1k:137_137,54.66616249084473,87.0
onek1k:138_138,54.17009735107422,64.0
onek1k:139_139,55.030893325805664,79.0
onek1k:13_13,51.28204917907715,50.0
onek1k:140_140,51.73910713195801,60.0
onek1k:141_141,51.911705017089844,36.0
onek1k:142_142,53.557111740112305,67.0
onek1k:144_144,52.64288330078125,44.0
onek1k:145_145,52.1383113861084,87.0
onek1k:146_146,52.27314567565918,63.0
onek1k:147_147,49.967445373535156,54.0
onek1k:148_148,51.48848915100098,62.0
onek1k:149_149,51.82341766357422,59.0
onek1k:150_150,53.39248275756836,31.0
onek1k:151_151,49.82063102722168,19.0
onek1k:152_152,52.20675277709961,68.0
onek1k:153_153,53.62690353393555,46.0
onek1k:154_154,52.28915214538574,67.0
onek1k:155_155,52.703569412231445,56.0
onek1k:156_156,51.34770965576172,73.0
onek1k:158_158,52.03316116333008,59.0
onek1k:159_159,48.292192459106445,63.0
onek1k:15_15,52.97145652770996,67.0
onek1k:160_160,52.48430633544922,60.0
onek1k:161_161,50.166297912597656,33.0
onek1k:163_163,50.286590576171875,56.0
onek1k:164_165,50.26933479309082,41.0
onek1k:165_166,53.728986740112305,61.0
onek1k:166_167,54.85305213928223,34.0
onek1k:167_168,53.502750396728516,58.0
onek1k:168_169,51.78036880493164,79.0
onek1k:169_170,46.8612003326416,20.0
onek1k:16_16,46.607887268066406,45.0
onek1k:170_171,49.80318260192871,43.0
onek1k:171_172,52.81427574157715,62.0
onek1k:172_173,48.68169403076172,23.0
onek1k:173_174,54.826507568359375,68.0
onek1k:175_176,51.53659629821777,49.0
onek1k:176_177,48.455984115600586,27.0
onek1k:177_178,51.36770248413086,19.0
onek1k:178_179,54.10557746887207,47.0
onek1k:179_180,51.214895248413086,31.0
onek1k:17_17,52.73143005371094,70.0
onek1k:180_181,48.88131904602051,68.0
onek1k:181_182,49.97836875915527,66.0
onek1k:182_183,53.428144454956055,70.0
onek1k:183_184,51.17475128173828,65.0
onek1k:184_185,55.226375579833984,83.0
onek1k:185_186,51.98716735839844,62.0
onek1k:186_187,49.04131889343262,28.0
onek1k:187_188,52.07294273376465,26.0
