donor,pred_age,true_age
onek1k:545_546,42.87367820739746,67.0
onek1k:546_547,43.737060546875,73.0
onek1k:547_548,43.13354301452637,73.0
onek1k:548_549,43.96993446350098,40.0
onek1k:549_550,44.11401557922363,60.0
onek1k:54_54,44.5462532043457,66.0
onek1k:550_551,44.4584903717041,82.0
onek1k:551_552,44.85172080993652,72.0
onek1k:552_553,43.99332809448242,29.0
onek1k:553_554,43.91962432861328,36.0
onek1k:554_555,45.11492729187012,80.0
onek1k:555_556,43.79571723937988,77.0
onek1k:557_558,43.31266784667969,64.0
onek1k:558_559,44.5448055267334,80.0
onek1k:559_560,44.734853744506836,77.0
onek1k:55_55,44.04075813293457,71.0
onek1k:560_561,40.91020965576172,72.0
onek1k:561_562,45.21725654602051,56.0
onek1k:562_563,46.10770225524902,71.0
onek1k:563_564,45.57974052429199,75.0
onek1k:564_565,42.71321105957031,80.0
onek1k:565_566,41.649208068847656,57.0
onek1k:566_567,43.57347297668457,58.0
onek1k:567_568,43.72164726257324,68.0
onek1k:569_570,44.33234405517578,69.0
onek1k:56_56,43.99800682067871,36.0
onek1k:570_571,44.64927864074707,59.0
onek1k:571_572,43.67930793762207,84.0
onek1k:572_573,45.466251373291016,86.0
onek1k:573_574,41.76449394226074,26.0
onek1k:574_575,42.98337364196777,24.0
onek1k:575_576,44.035606384277344,50.0
onek1k:576_577,43.953969955444336,70.0
onek1k:577_578,46.05680847167969,72.0
onek1k:578_579,44.56781196594238,22.0
onek1k:579_580,43.372446060180664,34.0
onek1k:57_57,42.89525604248047,32.0
onek1k:580_581,43.206939697265625,37.0
onek1k:581_582,45.13014602661133,63.0
onek1k:582_583,43.84762001037598,52.0
onek1k:583_584,44.131792068481445,36.0
onek1k:584_585,43.03599548339844,74.0
onek1k:585_586,44.4693603515625,71.0
onek1k:586_587,42.77239990234375,51.0
onek1k:587_588,43.02248573303223,72.0
onek1k:588_589,44.72447967529297,69.0
onek1k:589_590,45.06757926940918,75.0
onek1k:58_58,43.07393836975098,19.0
onek1k:590_591,43.62691688537598,69.0
onek1k:591_592,43.175466537475586,83.0
onek1k:592_593,43.19832229614258,68.0
onek1k:593_594,44.58253860473633,69.0
onek1k:594_595,43.14788246154785,74.0
onek1k:595_596,43.886383056640625,81.0
onek1k:596_597,43.374834060668945,44.0
onek1k:597_598,45.10129356384277,52.0
onek1k:598_599,44.5814266204834,49.0
onek1k:599_600,46.106027603149414,71.0
onek1k:600_601,45.167057037353516,39.0
onek1k:602_603,44.03986358642578,70.0
onek1k:603_604,43.44372367858887,87.0
onek1k:604_605,43.91457176208496,81.0
onek1k:605_606,43.30095291137695,41.0
onek1k:606_607,44.23444938659668,71.0
onek1k:607_608,43.693899154663086,77.0
onek1k:608_609,42.72854995727539,67.0
onek1k:609_610,43.04353332519531,62.0
onek1k:60_60,43.935707092285156,35.0
onek1k:610_611,42.872358322143555,63.0
onek1k:611_612,41.53574562072754,76.0
onek1k:612_613,43.4611873626709,83.0
onek1k:613_614,42.38007926940918,78.0
onek1k:614_615,42.43972206115723,67.0
onek1k:615_616,43.11570930480957,58.0
onek1k:616_617,44.27865791320801,53.0
onek1k:617_618,43.566524505615234,62.0
onek1k:618_619,44.143117904663086,30.0
onek1k:619_620,42.97433090209961,22.0
onek1k:61_61,43.69621276855469,25.0
onek1k:620_621,43.9760684967041,35.0
onek1k:621_622,42.563053131103516,91.0
onek1k:622_623,44.61465835571289,86.0
onek1k:623_624,44.358211517333984,74.0
onek1k:624_625,43.798574447631836,60.0
onek1k:625_626,44.445499420166016,59.0
onek1k:626_627,42.51055717468262,46.0
onek1k:627_628,42.701581954956055,69.0
onek1k:628_629,43.21564483642578,73.0
onek1k:629_630,44.0354118347168,34.0
onek1k:630_631,42.701765060424805,54.0
onek1k:632_633,45.59288787841797,70.0
onek1k:633_634,44.16692352294922,57.0
onek1k:634_635,43.04280090332031,55.0
onek1k:635_636,42.42724418640137,66.0
onek1k:636_637,44.526512145996094,75.0
onek1k:637_638,42.23382759094238,87.0
onek1k:638_639,43.33455848693848,68.0
onek1k:639_640,42.22587966918945,79.0
onek1k:63_63,43.67466354370117,44.0
onek1k:640_641,42.32445526123047,83.0
onek1k:641_642,44.201141357421875,85.0
onek1k:644_645,43.36946678161621,59.0
onek1k:645_646,43.039838790893555,86.0
onek1k:646_647,43.374250411987305,85.0
onek1k:647_648,42.39556694030762,68.0
onek1k:648_649,42.877689361572266,73.0
onek1k:649_650,43.71849250793457,80.0
onek1k:64_64,43.491926193237305,46.0
onek1k:650_651,42.109710693359375,80.0
onek1k:651_652,44.81696128845215,67.0
onek1k:652_653,45.17172813415527,84.0
onek1k:653_654,49.320953369140625,86.0
onek1k:654_655,42.26006889343262,59.0
onek1k:655_656,43.984500885009766,60.0
onek1k:656_657,43.30317306518555,61.0
onek1k:657_658,44.79267883300781,68.0
onek1k:658_659,43.27139854431152,42.0
onek1k:659_660,43.587257385253906,20.0
onek1k:65_65,44.537803649902344,58.0
onek1k:660_661,43.89584732055664,40.0
onek1k:661_662,39.52803039550781,78.0
onek1k:662_663,40.225236892700195,81.0
onek1k:663_664,39.764915466308594,89.0
onek1k:664_665,39.84870147705078,56.0
onek1k:665_666,41.60014724731445,53.0
onek1k:666_667,44.15546989440918,63.0
onek1k:667_668,41.84746551513672,76.0
onek1k:668_669,41.463369369506836,69.0
onek1k:669_670,41.315256118774414,64.0
onek1k:66_66,43.75186729431152,66.0
onek1k:670_671,41.61514091491699,83.0
