donor_id,true_age,predicted_age,n_cells
onek1k:255_256,54.0,46.544693,10
onek1k:256_257,52.0,51.469563,122
onek1k:257_258,68.0,45.63681,124
onek1k:258_259,68.0,52.067093,93
onek1k:259_260,45.0,43.83118,93
onek1k:260_261,76.0,55.337006,156
onek1k:262_263,66.0,46.380913,82
onek1k:263_264,77.0,54.499104,185
onek1k:264_265,59.0,52.473724,117
onek1k:266_267,49.0,53.394695,77
onek1k:267_268,61.0,46.121395,130
onek1k:269_270,76.0,54.68109,198
onek1k:270_271,64.0,44.811424,52
onek1k:271_272,20.0,43.950237,36
onek1k:272_273,54.0,50.622307,202
onek1k:273_274,63.0,45.334484,87
onek1k:274_275,66.0,54.574562,91
onek1k:275_276,31.0,52.396343,49
onek1k:276_277,65.0,45.1732,105
onek1k:278_279,45.0,51.017475,11
onek1k:279_280,73.0,46.455387,3
onek1k:280_281,25.0,43.77271,9
onek1k:282_283,40.0,53.861362,8
onek1k:283_284,47.0,51.894863,1
onek1k:284_285,30.0,54.699593,13
onek1k:286_287,44.0,52.480125,190
onek1k:287_288,79.0,45.81467,65
onek1k:288_289,80.0,54.03123,11
onek1k:289_290,29.0,48.835888,11
onek1k:290_291,53.0,47.793503,8
onek1k:291_292,67.0,50.962746,14
onek1k:292_293,76.0,50.170113,100
onek1k:293_294,86.0,50.121834,89
onek1k:294_295,54.0,50.27657,49
onek1k:295_296,87.0,57.59743,27
onek1k:296_297,80.0,51.35101,39
onek1k:297_298,82.0,57.448902,25
onek1k:298_299,74.0,55.8183,17
onek1k:299_300,95.0,47.936176,20
onek1k:301_302,88.0,52.18783,28
onek1k:302_303,83.0,49.255325,38
onek1k:303_304,85.0,56.417953,2
onek1k:304_305,68.0,50.811363,7
onek1k:305_306,74.0,55.46516,16
onek1k:306_307,80.0,50.2606,113
onek1k:307_308,91.0,49.041897,33
onek1k:308_309,79.0,47.71295,198
onek1k:309_310,75.0,57.61649,202
onek1k:310_311,80.0,47.668682,27
onek1k:311_312,88.0,47.25197,92
onek1k:312_313,84.0,48.634354,107
onek1k:313_314,33.0,48.914394,125
onek1k:314_315,80.0,46.653255,93
onek1k:315_316,80.0,57.964443,153
onek1k:316_317,76.0,49.98149,153
onek1k:317_318,66.0,48.2565,34
onek1k:318_319,88.0,49.082428,74
onek1k:319_320,84.0,48.391685,110
onek1k:320_321,89.0,50.347424,137
onek1k:321_322,76.0,56.44752,21
onek1k:322_323,90.0,61.030014,16
onek1k:323_324,77.0,49.239292,28
onek1k:324_325,97.0,49.209377,30
onek1k:325_326,66.0,48.95425,3
onek1k:326_327,66.0,55.121426,5
onek1k:327_328,23.0,48.306843,17
onek1k:328_329,65.0,52.63713,4
onek1k:329_330,42.0,52.342274,23
onek1k:330_331,63.0,49.20804,34
onek1k:331_332,24.0,49.88956,5
onek1k:332_333,62.0,47.609646,23
onek1k:333_334,51.0,60.207855,10
onek1k:334_335,60.0,46.975975,90
onek1k:335_336,71.0,51.438404,7
onek1k:336_337,57.0,52.936092,69
onek1k:337_338,42.0,43.16206,43
