donor_id,true_age,predicted_age,n_cells
onek1k:446_447,72.0,52.756245,140
onek1k:447_448,66.0,54.0055,40
onek1k:448_449,82.0,53.69441,133
onek1k:449_450,85.0,54.262604,167
onek1k:450_451,84.0,52.35821,109
onek1k:451_452,89.0,51.36842,90
onek1k:452_453,77.0,55.385494,35
onek1k:453_454,85.0,53.796055,114
onek1k:454_455,79.0,52.93752,115
onek1k:455_456,80.0,52.66619,282
onek1k:456_457,76.0,52.758217,80
onek1k:457_458,73.0,53.41319,318
onek1k:458_459,84.0,52.560642,141
onek1k:459_460,87.0,52.17901,54
onek1k:460_461,58.0,54.02669,65
onek1k:461_462,61.0,51.346645,77
onek1k:462_463,83.0,53.187904,242
onek1k:463_464,86.0,53.798653,64
onek1k:464_465,76.0,51.425568,219
onek1k:465_466,59.0,51.655155,58
onek1k:466_467,85.0,47.33052,108
onek1k:467_468,74.0,46.891304,128
onek1k:468_469,76.0,48.09555,123
onek1k:469_470,78.0,50.691628,63
onek1k:470_471,83.0,50.95351,41
onek1k:471_472,65.0,47.623516,91
onek1k:472_473,77.0,50.023617,49
onek1k:473_474,72.0,46.79828,194
onek1k:474_475,79.0,45.859035,119
onek1k:475_476,36.0,50.476585,155
onek1k:476_477,53.0,49.57213,278
onek1k:477_478,53.0,48.360653,167
onek1k:478_479,68.0,50.622494,83
onek1k:479_480,86.0,49.682735,13
onek1k:480_481,69.0,48.808636,155
onek1k:481_482,68.0,46.16744,113
onek1k:482_483,23.0,48.369446,200
onek1k:483_484,71.0,49.327503,39
onek1k:484_485,60.0,47.430367,72
onek1k:485_486,48.0,45.597588,158
onek1k:486_487,36.0,46.94648,158
onek1k:487_488,67.0,49.15333,91
onek1k:488_489,56.0,51.810158,128
onek1k:489_490,52.0,49.723072,100
onek1k:490_491,64.0,50.61825,83
onek1k:491_492,41.0,49.192,206
onek1k:492_493,79.0,46.038292,90
onek1k:493_494,73.0,49.23949,259
onek1k:494_495,24.0,46.067486,138
onek1k:496_497,33.0,49.196297,29
onek1k:497_498,31.0,47.854736,113
onek1k:498_499,71.0,48.17844,113
onek1k:499_500,77.0,50.197266,322
onek1k:500_501,59.0,50.928356,103
onek1k:501_502,64.0,48.762768,125
onek1k:502_503,66.0,46.271038,99
onek1k:503_504,49.0,49.156815,112
onek1k:504_505,85.0,46.12165,22
onek1k:505_506,54.0,50.222687,136
onek1k:506_507,41.0,48.681137,170
onek1k:507_508,66.0,51.87278,185
onek1k:508_509,79.0,52.338852,106
onek1k:509_510,80.0,48.253353,181
onek1k:510_511,84.0,50.879593,99
onek1k:511_512,89.0,50.057167,217
onek1k:512_513,79.0,50.806664,68
onek1k:513_514,82.0,50.454742,134
onek1k:514_515,90.0,52.976307,155
onek1k:515_516,37.0,47.423748,191
