donor_id,true_age,predicted_age,n_cells
aida:KR_SGI_H007,30.0,42.039803,358
aida:KR_SGI_H008,33.0,41.364315,403
aida:KR_SGI_H009,31.0,41.415306,405
aida:KR_SGI_H010,36.0,42.36902,188
aida:KR_SGI_H011,28.0,34.34889,409
aida:KR_SGI_H012,31.0,41.145226,151
aida:KR_SGI_H013,40.0,34.251026,685
aida:KR_SGI_H014,29.0,34.012512,210
aida:KR_SGI_H015,34.0,34.695072,475
aida:KR_SGI_H016,47.0,41.05116,220
aida:KR_SGI_H017,28.0,41.503098,406
aida:KR_SGI_H018,27.0,33.89313,375
aida:KR_SGI_H019,28.0,41.34443,568
aida:KR_SGI_H020,36.0,41.251163,408
aida:KR_SGI_H021,26.0,33.419483,302
aida:KR_SGI_H022,35.0,34.19069,654
aida:KR_SGI_H023,40.0,41.061947,424
aida:KR_SGI_H024,25.0,34.30743,603
aida:KR_SGI_H025,40.0,41.611336,230
aida:KR_SGI_H026,38.0,41.531406,362
aida:KR_SGI_H027,33.0,40.95426,268
aida:KR_SGI_H028,39.0,41.849342,448
aida:KR_SGI_H029,28.0,42.559338,251
aida:KR_SGI_H030,34.0,33.25493,398
aida:KR_SGI_H031,29.0,33.25457,346
aida:KR_SGI_H032,35.0,34.432415,358
aida:KR_SGI_H033,48.0,41.416935,258
aida:KR_SGI_H034,46.0,34.107147,356
aida:KR_SGI_H035,40.0,41.58308,111
aida:KR_SGI_H036,40.0,34.382915,483
aida:KR_SGI_H037,35.0,41.65622,375
aida:KR_SGI_H038,25.0,34.672195,607
aida:KR_SGI_H039,39.0,41.89618,422
aida:KR_SGI_H040,23.0,41.292545,363
aida:KR_SGI_H041,42.0,34.25389,648
aida:KR_SGI_H042,26.0,40.50816,327
aida:KR_SGI_H043,41.0,42.20271,377
aida:KR_SGI_H044,42.0,33.56443,226
aida:KR_SGI_H045,28.0,33.638344,318
aida:KR_SGI_H046,30.0,33.46573,269
aida:KR_SGI_H047,39.0,33.79213,404
aida:KR_SGI_H048,36.0,33.54875,384
aida:KR_SGI_H049,43.0,35.009197,689
aida:KR_SGI_H050,38.0,40.96417,188
aida:KR_SGI_H051,25.0,41.93771,371
aida:KR_SGI_H052,38.0,41.418686,602
aida:KR_SGI_H053,24.0,41.918316,235
aida:KR_SGI_H054,39.0,42.024662,289
aida:KR_SGI_H055,38.0,40.985367,476
aida:KR_SGI_H056,33.0,41.28381,629
aida:KR_SGI_H057,29.0,41.553776,457
aida:KR_SGI_H058,28.0,40.795322,237
aida:KR_SGI_H059,32.0,34.98036,513
aida:KR_SGI_H060,40.0,41.838497,393
aida:KR_SGI_H061,26.0,33.861458,335
aida:KR_SGI_H062,39.0,40.645813,260
aida:KR_SGI_H063,24.0,41.853905,312
aida:KR_SGI_H064,43.0,40.69331,119
aida:KR_SGI_H065,47.0,41.97996,397
aida:KR_SGI_H066,46.0,41.67004,259
aida:KR_SGI_H067,38.0,42.019154,182
aida:KR_SGI_H068,28.0,34.927185,630
aida:KR_SGI_H069,34.0,41.555214,307
aida:KR_SGI_H070,26.0,41.28618,344
aida:KR_SGI_H071,62.0,42.893024,681
aida:KR_SGI_H072,27.0,42.09173,294
aida:KR_SGI_H073,29.0,41.197556,156
aida:KR_SGI_H074,59.0,42.213535,667
aida:KR_SGI_H075,39.0,34.37819,132
aida:KR_SGI_H076,29.0,34.528965,278
aida:KR_SGI_H077,26.0,42.451965,330
aida:KR_SGI_H078,56.0,43.04226,494
aida:KR_SGI_H079,66.0,42.914646,375
aida:KR_SGI_H080,34.0,41.62633,295
aida:KR_SGI_H081,38.0,42.474865,371
aida:KR_SGI_H082,34.0,34.44201,429
aida:KR_SGI_H083,39.0,34.256126,590
aida:KR_SGI_H084,36.0,41.217022,155
aida:KR_SGI_H085,25.0,34.882225,652
aida:KR_SGI_H086,41.0,41.908474,225
aida:KR_SGI_H087,57.0,42.842384,670
aida:KR_SGI_H088,49.0,33.58446,285
aida:KR_SGI_H089,54.0,41.519863,155
aida:KR_SGI_H090,34.0,34.06532,563
aida:KR_SGI_H091,39.0,34.62858,266
aida:KR_SGI_H092,38.0,41.27301,212
aida:KR_SGI_H093,64.0,42.12533,209
aida:KR_SGI_H094,30.0,34.519993,449
aida:KR_SGI_H095,40.0,34.81578,354
aida:KR_SGI_H096,37.0,43.06262,282
aida:KR_SGI_H097,41.0,42.406635,421
aida:KR_SGI_H098,27.0,34.29862,517
aida:KR_SGI_H099,26.0,42.261322,348
aida:KR_SGI_H100,58.0,35.54079,1567
aida:KR_SGI_H101,39.0,42.532852,424
aida:KR_SGI_H102,43.0,35.496925,1274
aida:KR_SGI_H103,54.0,43.225876,697
aida:KR_SGI_H104,57.0,42.5,314
aida:KR_SGI_H105,59.0,34.63052,193
aida:KR_SGI_H106,47.0,42.80104,204
aida:KR_SGI_H107,61.0,35.0394,190
aida:KR_SGI_H108,56.0,41.436363,190
aida:KR_SGI_H109,56.0,41.982227,151
aida:KR_SGI_H110,61.0,34.83997,53
aida:KR_SGI_H111,60.0,34.475464,152
aida:KR_SGI_H112,59.0,41.47437,213
aida:KR_SGI_H113,62.0,35.134727,330
aida:KR_SGI_H114,58.0,42.0182,597
aida:KR_SGI_H115,46.0,34.67615,507
aida:KR_SGI_H116,68.0,34.686405,167
aida:KR_SGI_H117,57.0,35.136,372
aida:KR_SGI_H118,42.0,43.104782,308
aida:KR_SGI_H119,62.0,35.463043,474
aida:KR_SGI_H120,40.0,42.657597,415
aida:KR_SGI_H121,42.0,41.73144,193
aida:KR_SGI_H122,59.0,43.9514,267
aida:KR_SGI_H123,65.0,43.235916,92
aida:KR_SGI_H124,56.0,35.173847,223
aida:KR_SGI_H125,51.0,43.074234,431
aida:KR_SGI_H126,52.0,43.001114,1048
aida:KR_SGI_H127,73.0,35.523853,615
aida:KR_SGI_H128,60.0,41.92859,309
aida:KR_SGI_H129,63.0,35.859604,294
aida:KR_SGI_H130,62.0,35.38344,176
aida:KR_SGI_H131,58.0,43.6055,202
aida:KR_SGI_H132,71.0,43.06768,474
aida:KR_SGI_H133,38.0,41.469406,140
aida:KR_SGI_H134,39.0,34.519707,268
aida:KR_SGI_H135,47.0,41.633774,127
aida:KR_SGI_H136,44.0,35.60093,464
aida:KR_SGI_H137,57.0,42.077873,392
aida:KR_SGI_H138,41.0,41.82585,284
aida:KR_SGI_H139,31.0,41.061966,132
aida:KR_SGI_H140,28.0,34.32528,295
aida:KR_SGI_H141,58.0,34.408314,523
aida:KR_SGI_H142,28.0,40.78532,130
aida:KR_SGI_H143,52.0,34.780308,277
aida:KR_SGI_H144,53.0,35.7251,1006
aida:KR_SGI_H145,50.0,42.941982,345
aida:KR_SGI_H146,29.0,41.4002,264
aida:KR_SGI_H147,49.0,42.634403,131
aida:KR_SGI_H148,26.0,41.703804,97
aida:KR_SGI_H149,42.0,43.12999,506
aida:KR_SGI_H150,45.0,34.752445,171
aida:KR_SGI_H151,48.0,34.770203,112
aida:KR_SGI_H152,48.0,41.840946,51
aida:KR_SGI_H153,64.0,42.887398,403
aida:KR_SGI_H154,54.0,43.280674,397
aida:KR_SGI_H155,51.0,42.114025,263
aida:KR_SGI_H156,47.0,35.021748,567
aida:KR_SGI_H157,31.0,34.15603,46
aida:KR_SGI_H158,30.0,41.992714,370
aida:KR_SGI_H159,26.0,38.851784,4
aida:KR_SGI_H160,49.0,34.888317,659
aida:KR_SGI_H161,19.0,40.759033,414
aida:KR_SGI_H162,24.0,40.571842,176
aida:KR_SGI_H163,50.0,41.97211,411
aida:KR_SGI_H164,26.0,34.76284,406
aida:KR_SGI_H165,27.0,41.410873,198
aida:LONZA3030004,33.0,34.78503,270
aida:LONZA3038016,21.0,35.045574,2494
aida:LONZA3038097,41.0,42.570744,1045
aida:LONZA3038099,23.0,35.066822,1605
aida:LONZA3038306,30.0,34.70878,496
aida:LONZA3061635,25.0,40.813557,294
aida:SG_HEL_H001,57.0,41.449387,13
aida:SG_HEL_H002,55.0,36.79093,1054
aida:SG_HEL_H02a,57.0,34.97689,304
aida:SG_HEL_H003,54.0,36.087086,206
aida:SG_HEL_H03a,58.0,35.673016,127
aida:SG_HEL_H04a,47.0,42.46699,255
aida:SG_HEL_H05a,41.0,35.648666,303
aida:SG_HEL_H06a,56.0,42.20866,127
aida:SG_HEL_H07a,53.0,43.617058,200
aida:SG_HEL_H008,53.0,45.429493,294
aida:SG_HEL_H08a,44.0,42.45175,102
aida:SG_HEL_H09a,46.0,42.636227,53
aida:SG_HEL_H10a,43.0,35.031334,370
aida:SG_HEL_H011,61.0,36.69354,473
aida:SG_HEL_H11a,58.0,35.232735,360
aida:SG_HEL_H012,37.0,37.258656,369
aida:SG_HEL_H12a,58.0,43.600708,224
aida:SG_HEL_H013,51.0,36.25931,417
aida:SG_HEL_H13a,33.0,35.24906,329
aida:SG_HEL_H14a,65.0,43.51772,177
aida:SG_HEL_H15a,33.0,35.074257,140
aida:SG_HEL_H16a,68.0,35.35824,228
aida:SG_HEL_H017,53.0,45.459957,443
aida:SG_HEL_H018,56.0,36.051857,220
aida:SG_HEL_H019,37.0,36.15973,217
aida:SG_HEL_H024,31.0,43.506275,247
aida:SG_HEL_H026,45.0,36.61582,215
aida:SG_HEL_H027,35.0,44.43119,288
aida:SG_HEL_H030,45.0,36.90216,410
aida:SG_HEL_H031,40.0,45.247334,315
aida:SG_HEL_H032,61.0,45.32056,142
aida:SG_HEL_H037,66.0,43.081974,145
aida:SG_HEL_H039,60.0,43.56602,129
aida:SG_HEL_H042,61.0,44.100895,160
aida:SG_HEL_H044,41.0,36.035217,292
aida:SG_HEL_H045,42.0,36.444202,312
aida:SG_HEL_H046,39.0,43.68339,193
aida:SG_HEL_H048,55.0,43.728786,149
aida:SG_HEL_H051,53.0,45.778767,271
aida:SG_HEL_H052,55.0,44.43594,419
aida:SG_HEL_H053,55.0,46.04124,238
aida:SG_HEL_H054,53.0,42.933437,251
aida:SG_HEL_H055,35.0,36.112602,60
aida:SG_HEL_H056,52.0,44.785915,407
aida:SG_HEL_H059,56.0,42.88934,11
aida:SG_HEL_H060,56.0,44.87242,422
aida:SG_HEL_H062,62.0,44.402008,384
aida:SG_HEL_H065,57.0,44.212475,66
aida:SG_HEL_H066,40.0,36.538326,183
aida:SG_HEL_H067,54.0,36.887173,304
aida:SG_HEL_H069,61.0,44.422222,244
aida:SG_HEL_H072,55.0,36.756428,159
aida:SG_HEL_H073,37.0,44.473503,455
aida:SG_HEL_H074,44.0,36.818363,266
aida:SG_HEL_H077,58.0,37.542496,255
aida:SG_HEL_H082,44.0,44.98095,286
aida:SG_HEL_H083,45.0,36.980316,468
aida:SG_HEL_H084,32.0,44.021526,393
aida:SG_HEL_H093,58.0,44.75852,82
aida:SG_HEL_H094,66.0,36.902637,273
aida:SG_HEL_H096,39.0,44.781017,178
aida:SG_HEL_H099,33.0,44.785934,98
aida:SG_HEL_H101,30.0,44.677788,132
aida:SG_HEL_H103,39.0,43.634167,242
aida:SG_HEL_H105,30.0,44.021584,210
aida:SG_HEL_H106,47.0,43.17145,97
aida:SG_HEL_H108,49.0,45.370712,100
aida:SG_HEL_H109,48.0,45.034073,286
